                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5981,                 2.4922,                 1.4673,                0.88823,                0.67647,                0.78664,                0.47121,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 1.4004,                 1.1001,                 1.2738,                0.91635,                0.80882,                0.90009,                0.53371,                      0,                    inf,                      0,               0.040464,              0.0062533,              0.0062533
                      2,                 1.4344,                 1.0652,                 1.3134,                0.79879,                0.70064,                0.80369,                 0.4371,                      0,                    inf,                      0,              0.0098082,               0.008931,               0.008931
                      3,                 1.4056,                  1.001,                 1.2836,                0.80321,                 0.7203,                0.79058,                0.45415,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      4,                  1.391,                0.99517,                 1.2569,                0.79089,                0.64706,                0.69548,                0.34313,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      5,                 1.3364,                0.89292,                 1.2347,                0.78886,                0.82419,                0.83282,                0.42461,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      6,                 1.3503,                0.87167,                  1.218,                0.67801,                0.67647,                0.71469,                0.34842,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                      7,                 1.2537,                0.84081,                 1.1872,                0.64089,                0.73529,                0.68459,                0.34297,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      8,                 1.2562,                0.78586,                 1.2058,                0.78593,                   0.75,                0.81645,                 0.3974,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                      9,                 1.2081,                0.75135,                 1.1653,                0.87134,                   0.75,                0.84569,                  0.457,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     10,                 1.2403,                0.70667,                  1.198,                0.87555,                0.79412,                0.86327,                0.45476,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     11,                 1.1261,                0.63112,                 1.1268,                 0.9407,                0.70588,                 0.8249,                 0.4429,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     12,                 1.1039,                0.65678,                 1.1183,                0.87166,                0.69922,                0.82467,                0.43056,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     13,                 1.0211,                0.60429,                 1.0885,                0.94517,                0.76049,                0.87997,                0.48261,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     14,                 1.0054,                0.56224,                 1.0755,                0.89768,                0.77418,                0.87895,                0.52496,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     15,                0.95512,                0.52917,                 1.0404,                0.89799,                0.80882,                0.88778,                0.51101,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     16,                0.91478,                0.50096,                 1.0326,                0.93113,                0.79537,                0.90947,                0.53082,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     17,                0.86691,                0.48304,                0.98819,                0.85694,                0.83824,                0.90258,                0.49536,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     18,                0.77924,                0.44183,                0.96448,                 0.8182,                0.85294,                0.90838,                0.53366,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     19,                0.73291,                0.40954,                0.94637,                0.85964,                0.81061,                0.90894,                0.54559,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
